Stackup,Conductor model,Mesh,Freq (GHz),L (nH),L meas (nH),L err (%),Q,Q meas,Q err (%)
Planar (flat SiO2+Passivation),Surface impedance,5 um,1.0,4.8573,5.0087,-3.02,7.2395,6.4567,12.12
Planar (flat SiO2+Passivation),Surface impedance,5 um,5.0,6.2127,6.0632,2.47,17.7344,15.8935,11.58
Planar (flat SiO2+Passivation),Surface impedance,5 um,9.0,23.2150,13.7510,68.82,4.5008,6.9323,-35.07
Planar (flat SiO2+Passivation),Surface impedance,2 um,1.0,4.8635,5.0087,-2.90,7.2773,6.4567,12.71
Planar (flat SiO2+Passivation),Surface impedance,2 um,5.0,6.1522,6.0632,1.47,18.4203,15.8935,15.90
Planar (flat SiO2+Passivation),Surface impedance,2 um,9.0,20.1083,13.7510,46.23,5.5036,6.9323,-20.61
Planar (flat SiO2+Passivation),Surface impedance,1 um,1.0,4.8648,5.0087,-2.87,7.2869,6.4567,12.86
Planar (flat SiO2+Passivation),Surface impedance,1 um,5.0,6.1351,6.0632,1.19,18.6255,15.8935,17.19
Planar (flat SiO2+Passivation),Surface impedance,1 um,9.0,19.3936,13.7510,41.03,5.7974,6.9323,-16.37
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,1.0,4.9042,5.0087,-2.09,6.2650,6.4567,-2.97
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,5.0,6.2789,6.0632,3.56,13.3600,15.8935,-15.94
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,9.0,22.8628,13.7510,66.26,3.3038,6.9323,-52.34
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,1.0,4.9117,5.0087,-1.94,6.2735,6.4567,-2.84
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,5.0,6.2185,6.0632,2.56,14.1429,15.8935,-11.01
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,9.0,20.1772,13.7510,46.73,4.1801,6.9323,-39.70
Planar (flat SiO2+Passivation),filled_metals (volume),1 um,1.0,4.9130,5.0087,-1.91,6.2720,6.4567,-2.86
Planar (flat SiO2+Passivation),filled_metals (volume),1 um,5.0,6.2006,6.0632,2.27,14.3726,15.8935,-9.57
Planar (flat SiO2+Passivation),filled_metals (volume),1 um,9.0,19.5182,13.7510,41.94,4.4569,6.9323,-35.71
Conformal 3D-passivation,Surface impedance,5 um,1.0,4.8524,5.0087,-3.12,7.2625,6.4567,12.48
Conformal 3D-passivation,Surface impedance,5 um,5.0,5.9204,6.0632,-2.36,18.9626,15.8935,19.31
Conformal 3D-passivation,Surface impedance,5 um,9.0,14.1211,13.7510,2.69,8.1433,6.9323,17.47
Conformal 3D-passivation,Surface impedance,2 um,1.0,4.8573,5.0087,-3.02,7.2882,6.4567,12.88
Conformal 3D-passivation,Surface impedance,2 um,5.0,5.8929,6.0632,-2.81,19.3906,15.8935,22.00
Conformal 3D-passivation,Surface impedance,2 um,9.0,13.4281,13.7510,-2.35,8.7884,6.9323,26.77
Conformal 3D-passivation,Surface impedance,1 um,1.0,4.8582,5.0087,-3.00,7.2949,6.4567,12.98
Conformal 3D-passivation,Surface impedance,1 um,5.0,5.8775,6.0632,-3.06,19.5825,15.8935,23.21
Conformal 3D-passivation,Surface impedance,1 um,9.0,13.1198,13.7510,-4.59,9.1049,6.9323,31.34
Conformal 3D-passivation,filled_metals (volume),5 um,1.0,4.9000,5.0087,-2.17,6.2815,6.4567,-2.71
Conformal 3D-passivation,filled_metals (volume),5 um,5.0,5.9791,6.0632,-1.39,14.2781,15.8935,-10.16
Conformal 3D-passivation,filled_metals (volume),5 um,9.0,14.1371,13.7510,2.81,6.0696,6.9323,-12.44
Conformal 3D-passivation,filled_metals (volume),2 um,1.0,4.9055,5.0087,-2.06,6.2823,6.4567,-2.70
Conformal 3D-passivation,filled_metals (volume),2 um,5.0,5.9530,6.0632,-1.82,14.8898,15.8935,-6.32
Conformal 3D-passivation,filled_metals (volume),2 um,9.0,13.5272,13.7510,-1.63,6.7576,6.9323,-2.52
Conformal 3D-passivation,filled_metals (volume),1 um,1.0,4.9063,5.0087,-2.05,6.2798,6.4567,-2.74
Conformal 3D-passivation,filled_metals (volume),1 um,5.0,5.9371,6.0632,-2.08,15.1119,15.8935,-4.92
Conformal 3D-passivation,filled_metals (volume),1 um,9.0,13.2314,13.7510,-3.78,7.0827,6.9323,2.17
