Stackup,Conductor model,Mesh,Quantity,Freq (GHz),Sim,Meas,Err (%)
Planar (flat SiO2+Passivation),Surface impedance,5 um,L (nH),0.1,4.9522,4.9396,0.26
Planar (flat SiO2+Passivation),Surface impedance,5 um,L (nH),4,5.5847,5.5883,-0.06
Planar (flat SiO2+Passivation),Surface impedance,5 um,L (nH),8,12.5914,9.7542,29.09
Planar (flat SiO2+Passivation),Surface impedance,5 um,Q,1,7.2395,6.4567,12.12
Planar (flat SiO2+Passivation),Surface impedance,5 um,Q,5,17.7344,15.8935,11.58
Planar (flat SiO2+Passivation),Surface impedance,5 um,Q,9,4.5008,6.9323,-35.07
Planar (flat SiO2+Passivation),Surface impedance,2 um,L (nH),0.1,4.9638,4.9396,0.49
Planar (flat SiO2+Passivation),Surface impedance,2 um,L (nH),4,5.5597,5.5883,-0.51
Planar (flat SiO2+Passivation),Surface impedance,2 um,L (nH),8,11.8168,9.7542,21.15
Planar (flat SiO2+Passivation),Surface impedance,2 um,Q,1,7.2773,6.4567,12.71
Planar (flat SiO2+Passivation),Surface impedance,2 um,Q,5,18.4203,15.8935,15.90
Planar (flat SiO2+Passivation),Surface impedance,2 um,Q,9,5.5036,6.9323,-20.61
Planar (flat SiO2+Passivation),Surface impedance,1 um,L (nH),0.1,4.9657,4.9396,0.53
Planar (flat SiO2+Passivation),Surface impedance,1 um,L (nH),4,5.5523,5.5883,-0.64
Planar (flat SiO2+Passivation),Surface impedance,1 um,L (nH),8,11.6207,9.7542,19.14
Planar (flat SiO2+Passivation),Surface impedance,1 um,Q,1,7.2869,6.4567,12.86
Planar (flat SiO2+Passivation),Surface impedance,1 um,Q,5,18.6255,15.8935,17.19
Planar (flat SiO2+Passivation),Surface impedance,1 um,Q,9,5.7974,6.9323,-16.37
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,L (nH),0.1,4.8729,4.9396,-1.35
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,L (nH),4,5.6518,5.5883,1.14
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,L (nH),8,12.6561,9.7542,29.75
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,Q,1,6.2650,6.4567,-2.97
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,Q,5,13.3600,15.8935,-15.94
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,Q,9,3.3038,6.9323,-52.34
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,L (nH),0.1,4.8829,4.9396,-1.15
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,L (nH),4,5.6253,5.5883,0.66
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,L (nH),8,11.9297,9.7542,22.30
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,Q,1,6.2735,6.4567,-2.84
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,Q,5,14.1429,15.8935,-11.01
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,Q,9,4.1801,6.9323,-39.70
Planar (flat SiO2+Passivation),filled_metals (volume),1 um,L (nH),0.1,4.8847,4.9396,-1.11
Planar (flat SiO2+Passivation),filled_metals (volume),1 um,L (nH),4,5.6170,5.5883,0.51
Planar (flat SiO2+Passivation),filled_metals (volume),1 um,L (nH),8,11.7390,9.7542,20.35
Planar (flat SiO2+Passivation),filled_metals (volume),1 um,Q,1,6.2720,6.4567,-2.86
Planar (flat SiO2+Passivation),filled_metals (volume),1 um,Q,5,14.3726,15.8935,-9.57
