Stackup,Conductor model,Mesh,DOF,Mesh elements,Solve time,Peak RAM
Planar (flat SiO2+Passivation),Surface impedance,5 um,"332,044","47,959",8m 26s,5.57 GB
Planar (flat SiO2+Passivation),Surface impedance,2 um,"949,350","135,689",21m 1s,13.88 GB
Planar (flat SiO2+Passivation),Surface impedance,1 um,"1,888,810","266,551",36m 9s,28.27 GB
Planar (flat SiO2+Passivation),filled_metals (volume),5 um,"391,354","61,697",7m 42s,6.54 GB
Planar (flat SiO2+Passivation),filled_metals (volume),2 um,"1,147,416","180,848",19m 5s,17.77 GB
Planar (flat SiO2+Passivation),filled_metals (volume),1 um,"2,410,314","379,819",45m 40s,35.86 GB
Conformal 3D-passivation,Surface impedance,5 um,"497,856","74,189",14m 45s,7.74 GB
Conformal 3D-passivation,Surface impedance,2 um,"1,231,934","180,416",27m 24s,17.78 GB
Conformal 3D-passivation,Surface impedance,1 um,"2,339,478","337,898",1h 3m 26s,34.96 GB
Conformal 3D-passivation,filled_metals (volume),5 um,"557,146","87,924",17m 35s,8.29 GB
Conformal 3D-passivation,filled_metals (volume),2 um,"1,429,384","225,477",31m 40s,20.89 GB
Conformal 3D-passivation,filled_metals (volume),1 um,"2,861,190","451,199",1h 5m 44s,42.09 GB
